node,send_comm,recv_comm,bimod_score
720575940627578055,0,0,0.9628708276646104
720575940627558421,0,0,0.9628708276646104
720575940627502338,0,0,0.9628708276646104
720575940627493148,0,0,0.9628708276646104
720575940627439592,0,0,0.9628708276646104
720575940627410451,0,0,0.9628708276646104
720575940627405058,0,0,0.9628708276646104
720575940627349860,0,0,0.9628708276646104
720575940627348617,0,0,0.9628708276646104
720575940627344740,0,0,0.9628708276646104
720575940627341736,0,0,0.9628708276646104
720575940627277754,0,0,0.9628708276646104
720575940627277242,0,0,0.9628708276646104
720575940627264062,0,0,0.9628708276646104
720575940627255226,0,0,0.9628708276646104
720575940628031249,0,0,0.9628708276646104
720575940628023685,0,0,0.9628708276646104
720575940628006808,0,0,0.9628708276646104
720575940627996285,0,0,0.9628708276646104
720575940627946261,0,0,0.9628708276646104
720575940627927573,0,0,0.9628708276646104
720575940627891305,0,0,0.9628708276646104
720575940627826760,0,0,0.9628708276646104
720575940627796298,0,0,0.9628708276646104
720575940627725401,0,0,0.9628708276646104
720575940627715870,0,0,0.9628708276646104
720575940627706398,0,0,0.9628708276646104
720575940627690246,0,0,0.9628708276646104
720575940627652358,0,0,0.9628708276646104
720575940627604977,0,0,0.9628708276646104
720575940627594568,0,0,0.9628708276646104
720575940628352850,0,0,0.9628708276646104
720575940628348265,0,0,0.9628708276646104
720575940628346634,0,0,0.9628708276646104
720575940628251146,0,0,0.9628708276646104
720575940628236169,0,0,0.9628708276646104
720575940628200551,0,0,0.9628708276646104
720575940628169219,0,0,0.9628708276646104
720575940628154364,0,0,0.9628708276646104
720575940628143376,0,0,0.9628708276646104
720575940628132745,0,0,0.9628708276646104
720575940628082053,0,0,0.9628708276646104
720575940628059978,0,0,0.9628708276646104
720575940628059261,0,0,0.9628708276646104
720575940628038808,0,0,0.9628708276646104
720575940628780309,0,0,0.9628708276646104
720575940628762280,0,0,0.9628708276646104
720575940628739560,0,0,0.9628708276646104
720575940628734376,0,0,0.9628708276646104
720575940628695043,0,0,0.9628708276646104
720575940628694019,0,0,0.9628708276646104
720575940628592968,0,0,0.9628708276646104
720575940628586261,0,0,0.9628708276646104
720575940628532623,0,0,0.9628708276646104
720575940628467611,0,0,0.9628708276646104
720575940628455942,0,0,0.9628708276646104
720575940628446010,0,0,0.9628708276646104
720575940628437291,0,0,0.9628708276646104
720575940628406538,0,0,0.9628708276646104
720575940628403791,0,0,0.9628708276646104
720575940628360506,0,0,0.9628708276646104
720575940629358321,0,0,0.9628708276646104
720575940629327659,0,0,0.9628708276646104
720575940629249783,0,0,0.9628708276646104
720575940629229020,0,0,0.9628708276646104
720575940629179722,0,0,0.9628708276646104
720575940629153020,0,0,0.9628708276646104
720575940629148007,0,0,0.9628708276646104
720575940629131772,0,0,0.9628708276646104
720575940629111490,0,0,0.9628708276646104
720575940628908548,0,0,0.9628708276646104
720575940628895750,0,0,0.9628708276646104
720575940628873722,0,0,0.9628708276646104
720575940628865644,0,0,0.9628708276646104
720575940628857210,0,0,0.9628708276646104
720575940628793621,0,0,0.9628708276646104
720575940629757036,0,0,0.9628708276646104
720575940629704210,0,0,0.9628708276646104
720575940629614953,0,0,0.9628708276646104
720575940629609457,0,0,0.9628708276646104
720575940629560770,0,0,0.9628708276646104
720575940629532777,0,0,0.9628708276646104
720575940629513478,0,0,0.9628708276646104
720575940629513222,0,0,0.9628708276646104
720575940629502251,0,0,0.9628708276646104
720575940629486714,0,0,0.9628708276646104
720575940629461442,0,0,0.9628708276646104
720575940629451526,0,0,0.9628708276646104
720575940629437054,0,0,0.9628708276646104
720575940629426025,0,0,0.9628708276646104
720575940629422086,0,0,0.9628708276646104
720575940629418199,0,0,0.9628708276646104
720575940630042508,0,0,0.9628708276646104
720575940630024566,0,0,0.9628708276646104
720575940630006636,0,0,0.9628708276646104
720575940630006521,0,0,0.9628708276646104
720575940629981440,0,0,0.9628708276646104
720575940629959759,0,0,0.9628708276646104
720575940629957943,0,0,0.9628708276646104
720575940629875499,0,0,0.9628708276646104
720575940629868843,0,0,0.9628708276646104
720575940629859115,0,0,0.9628708276646104
720575940629856515,0,0,0.9628708276646104
720575940629855787,0,0,0.9628708276646104
720575940629805950,0,0,0.9628708276646104
720575940629792732,0,0,0.9628708276646104
720575940629778554,0,0,0.9628708276646104
720575940629766266,0,0,0.9628708276646104
720575940630318533,0,0,0.9628708276646104
720575940630311383,0,0,0.9628708276646104
720575940630291671,0,0,0.9628708276646104
720575940630247579,0,0,0.9628708276646104
720575940630243804,0,0,0.9628708276646104
720575940630233404,0,0,0.9628708276646104
720575940630204155,0,0,0.9628708276646104
720575940630183286,0,0,0.9628708276646104
720575940630164992,0,0,0.9628708276646104
720575940630146871,0,0,0.9628708276646104
720575940630140119,0,0,0.9628708276646104
720575940630135084,0,0,0.9628708276646104
720575940630097103,0,0,0.9628708276646104
720575940630086698,0,0,0.9628708276646104
720575940630085583,0,0,0.9628708276646104
